DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DE,2011,24390,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DE,2012,24871,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DE,2013,25104,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DE,2014,25700,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DE,2015,25992,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DE,2016,26823,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DE,2017,27652,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DE,2018,28711,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DE,2019,29047,p
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DE,2020,29567,p
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DE,2021,30462,p
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DK,2000,13948,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DK,2001,14434,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DK,2002,15186,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DK,2003,15545,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DK,2004,16192,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DK,2005,16734,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DK,2006,17785,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DK,2007,18649,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DK,2008,19207,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DK,2009,19578,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DK,2010,20622,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DK,2011,21020,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DK,2012,21085,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DK,2013,21495,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DK,2014,21614,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DK,2015,22341,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DK,2016,22616,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DK,2017,23546,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DK,2018,24209,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DK,2019,24545,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DK,2020,24784,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DK,2021,25414,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,EA19,2000,15847,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,EA19,2001,16673,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,EA19,2002,17130,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,EA19,2003,17553,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,EA19,2004,18074,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,EA19,2005,18699,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,EA19,2006,19501,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,EA19,2007,20182,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,EA19,2008,20832,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,EA19,2009,20549,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,EA19,2010,20847,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,EA19,2011,21155,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,EA19,2012,21096,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,EA19,2013,21261,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,EA19,2014,21502,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,EA19,2015,21887,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,EA19,2016,22362,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,EA19,2017,22966,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,EA19,2018,23614,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,EA19,2019,24278,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,EA19,2020,24452,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,EA19,2021,25572,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,EE,2000,5616,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,EE,2001,5915,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,EE,2002,6234,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,EE,2003,6891,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,EE,2004,7414,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,EE,2005,8249,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,EE,2006,9166,
