DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EE,2019,125.27,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EE,2020,132.79,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EE,2021,152.78,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EE,2022,186.76,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EL,2000,87.64,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EL,2001,100.26,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EL,2002,114.16,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EL,2003,120.31,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EL,2004,123.09,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EL,2005,136.51,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EL,2006,154.58,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EL,2007,163.78,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EL,2008,166.54,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EL,2009,160.35,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EL,2010,152.88,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EL,2011,144.52,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EL,2012,127.67,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EL,2013,113.82,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EL,2014,105.32,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EL,2015,100.00,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EL,2016,97.62,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EL,2017,96.63,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EL,2018,98.38,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EL,2019,105.48,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EL,2020,110.22,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EL,2021,118.61,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EL,2022,131.72,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,ES,2000,60.55,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,ES,2001,66.47,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,ES,2002,76.70,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,ES,2003,89.88,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,ES,2004,105.22,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,ES,2005,119.48,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,ES,2006,135.50,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,ES,2007,148.79,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,ES,2008,146.66,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,ES,2009,136.97,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,ES,2010,134.55,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,ES,2011,124.27,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,ES,2012,105.90,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,ES,2013,96.24,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,ES,2014,96.54,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,ES,2015,100.00,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,ES,2016,104.62,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,ES,2017,111.10,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,ES,2018,118.58,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,ES,2019,124.71,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,ES,2020,127.50,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,ES,2021,132.19,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,ES,2022,141.98,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,FI,2000,58.67,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,FI,2001,57.74,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,FI,2002,61.40,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,FI,2003,65.25,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,FI,2004,70.50,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,FI,2005,76.25,
